"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Belinda";26;26;27;27;26;27
"Belkisa";24;26;28;30;29;31
"Belma";53;60;65;70;72;79
"Belmina";7;8;8;8;9;9
"Benedikta";27;26;26;26;26;25
"Benita";17;18;18;17;17;17
"Benja";18;18;18;19;19;19
"Benjamina";35;35;35;34;35;35
"Berina";5;5;10;10;14;19
"Berna";-;-;-;-;-;5
"Bernada";18;18;18;18;18;18
"Bernadette";-;-;-;-;5;-
"Bernadka";32;32;32;32;32;32
"Bernarda";3100;3094;3067;3047;3029;3000
"Bernarda Marija";13;13;13;13;13;13
"Bernarda Nada";10;10;10;11;11;11
"Bernardica";30;30;29;28;27;29
"Bernardika";41;38;37;36;35;34
"Bernardina";51;48;48;45;45;45
"Bernardka";790;786;786;783;780;780
"Bernardka Marija";7;7;7;7;7;6
"Bernatka";5;5;5;5;5;-
"Berta";710;695;683;666;649;635
"Berta Marija";10;10;10;9;10;9
"Besa";14;16;18;17;19;20
"Besarta";19;19;23;24;29;28
"Besima";65;67;70;72;73;73
"Besime";6;7;7;8;8;8
"Besjana";-;-;-;-;5;5
"Beslinda";-;-;-;-;5;5
"Besmire";-;-;-;5;6;8
"Beti";210;214;221;222;224;226
"Betina";29;29;28;26;26;26
"Betka";211;211;208;207;206;203
"Betti";7;7;7;7;7;7
"Bettina";13;14;14;14;15;13
"Betty";7;7;7;8;7;7
"Bianca";32;32;34;34;39;37
"Bianka";32;31;32;34;34;35
"Biba";15;17;16;17;18;18
"Bibiana";12;11;12;11;10;10
"Bibijana";65;65;65;64;64;62
"Bijanka";5;5;5;5;-;-
"Biljana";574;580;602;609;629;631
"Bilka";14;14;14;14;15;16
"Bina";20;22;25;27;29;32
"Binasa";7;7;7;8;8;7
"Binca";6;6;6;6;5;5
"Birgit";6;6;6;7;6;7
"Bisera";36;35;37;39;40;38
"Biserka";817;812;812;803;797;790
"Bistra";11;11;11;13;14;13
"Bjanka";9;10;10;10;11;11
"Bjelica";7;6;6;6;6;6
"Blaga";14;12;12;12;13;12
"Blagica";38;38;40;41;43;45
"Blagorodna";6;6;6;8;8;7
"Blandina";5;5;5;5;5;5
"Blanka";1015;1014;1014;1009;1007;1001
"Blaška";14;14;14;15;15;15
"Blaža";11;11;12;12;12;12
"Blažena";19;18;18;18;18;18
"Blaženka";227;228;228;228;230;232
"Blažka";322;335;349;356;365;377
"Bleona";11;12;11;13;15;14
"Blerina";10;11;14;15;14;17
"Blerta";15;20;22;23;27;27
