"GEO";"BCA";"BCA_NGDPD";"GGR_NGDP";"GGXCNL_NGDP";"GGX_NGDP";"GGXWDG_NGDP";"LP";"NGDPD";"NGDP_D";"NGDPDPC";"NGDP_RPCH";"NGSD_NGDP";"NID_NGDP";"PCPI";"PCPIE";"PCPIEPCH";"PCPIPCH";"PPPEX";"PPPGDP";"PPPPC";"PPPSH";"TMG_RPCH";"TM_RPCH";"TXG_RPCH";"TX_RPCH"
"Guyana";-217;-9616;28192;-2732;30924;65299;771;2259;148711;2931,459;4371;7122;16738;102083;104500;4500;3730;85421;5386;6988,439;7;5210;3505;-5158;-4694
"Honduras";-682;-4322;24145;-2831;26975;29712;7621;15784;187255;2071,081;3731;17558;21880;220217;226600;6485;4699;8896;33645;4414,602;45;4361;4361;19247;19247
"Hong Kong";12385;5416;21136;4217;16919;35469;7052;228695;96224;32429,303;6793;29870;23884;100675;102900;2900;2312;5366;331138;46955,994;441;18146;17372;17328;16782
"Hungary";1414;1105;45397;-4376;49772;81839;10014;127956;121910;12777,741;1317;19787;18684;129940;131531;4650;4850;142393;186859;18659,788;249;11542;15152;14876;16952
"Iceland";-1056;-8407;41493;-6378;47871;90582;318;12564;181108;39556,322;-4098;4055;12462;203491;205470;2479;5396;131281;11699;36832,691;16;4292;4454;-1863;563
"India";-45946;-2685;18794;-8390;27184;67006;1194,623;1710,997;147189;1432,249;10546;34152;36837;179750;185000;8824;10445;18826;4140,693;3466,11;5514;7300;14858;19491;26826
"Indonesia";5145;725;16993;-1241;18234;26829;237641;709543;278547;2985,773;6224;33041;32316;120968;125170;6955;5133;6285,899;1025,605;4315,771;1366;27140;27140;8699;8699
"Iran";27330;6521;24224;3049;21175;16721;74339;419118;799206;5637,934;5899;47744;41223;228192;260775;19868;12396;4597,799;942427;12677,419;1255;-507;-247;11266;11254
"Ireland";2365;1127;34865;-30535;65399;91187;4555;209778;99339;46056,371;-1063;12972;11845;105383;106067;-2751;-1572;899;175863;38610,438;234;-1059;3637;5244;6408
"Israel";7171;3095;37623;-4555;42177;71451;7373;231676;1e+05;31420,312;5664;21221;18126;95065;96759;2662;2694;3723;232691;31557,932;310;16496;14380;17866;15781
"Italy";-72337;-3513;46053;-4338;50391;119288;60340;2059,19;109413;34126,257;1723;16538;20051;110558;112200;2093;1639;870;1783,453;29556,574;2375;15045;12572;12363;11357
"Jamaica";-1143;-8620;26830;-6330;33160;143236;2741;13265;159269;4838,491;-1447;13405;20188;303840;309472;11744;12613;48929;23579;8600,746;31;-16156;-16270;-23142;-16028
"Japan";204031;3713;29610;-9303;38913;215952;128048;5495,387;94149;42916,744;4652;23536;19823;100013;99948;-260;-719;110864;4351,126;33980,525;5795;15272;11065;25390;24362
"Jordan";-1390;-5255;24856;-5570;30427;67113;6113;26447;187894;4326,376;2311;16021;23140;124469;128689;6107;5002;537;34947;5716,829;47;-659;-659;9494;9494
"Kazakhstan";1393;941;23943;1470;22473;10683;16434;148047;2252,906;9008,699;6961;27287;26346;227355;234730;7800;7126;111740;195235;11880,083;260;7291;7821;26167;22284
"Kenya";-2095;-6501;24574;-5520;30094;49791;39742;32231;176038;810995;5803;14951;20904;196484;193122;4509;4309;38554;66238;1666,694;88;5253;8022;4013;6168
"Kuwait";36954;30812;67577;24498;43079;10913;3582;119932;189842;33481,355;-2371;52620;20263;144876;131483;4496;4496;267;128860;35973,643;172;6330;6330;83;-497
"Kyrgyzstan";-306;-6380;30537;-5846;36382;60324;5478;4794;700362;875114;-472;17429;23809;203762;225345;18932;7759;18282;12054;2200,523;16;-15232;-15549;-5491;-16541
"Latvia";695;2882;36037;-7314;43350;39744;2121;24099;190126;11364,947;-942;22731;19850;137909;139200;2398;-1224;401;31913;15049,852;42;11825;11825;12663;12663
"Lebanon";-3681;-9916;22698;-7731;30429;141692;3908;37124;130715;9500,764;7000;23246;33162;112367;115581;5083;4476;957042;58477;14965,285;78;5227;3611;6031;427
"Lesotho";-264;-11883;52676;-5061;57737;35370;1892;2219;154777;1173,278;6269;16808;28691;100828;102632;3561;3382;4610;3525;1863,226;5;2023;2023;6138;6138
"Libya";14578;19488;64931;17202;47728;0;6378;74804;198983;11728,761;5023;59098;39609;129808;130483;3325;2458;996;95114;14913,263;127;3514;10494;-574;-735
"Luxembourg";4355;8225;41956;-910;42866;19227;508;52950;120307;104335,439;2891;27638;19401;113111;115140;3052;2798;1009;39562;77954,19;53;18120;12121;13360;7688
"Madagascar";-846;-9685;12340;-1491;13831;36150;21299;8733;269290;410010;419;18942;28625;263543;276668;10182;9278;927733;19673;923649;26;-18661;-14362;11383;23117
"Malawi";-70;-1296;40149;2596;37553;37410;15714;5397;126448;343454;6533;24691;25987;309045;319768;6270;7410;63502;12794;814168;17;48123;48123;42361;42361
"Malaysia";27067;10934;23285;-4513;27798;53510;28589;247539;117834;8658,666;7425;34231;23296;100017;101200;2119;1720;1857;429353;15018,339;572;18121;16541;10393;7744
"Maldives";-197;-9227;23762;-16313;40075;60164;320;2134;142916;6667,83;7058;-2268;14588;169524;174699;6927;6150;10387;2630;8216,724;4;28906;28462;-8257;-7633
"Mali";-1190;-12611;20143;-2666;22809;28661;15370;9440;271959;614180;5819;20593;33204;132572;133073;1944;1289;276256;16892;1099,066;22;3546;1543;526;-42
"Mauritania";-334;-9261;26458;-1928;28385;96505;3460;3605;271312;1041,977;4666;15222;24482;132885;136899;6143;6262;150661;6617;1912,318;9;14052;18734;14015;7988
"Mauritius";-1003;-10333;21915;-3203;25118;50598;1283;9706;165716;7562,4;4100;13313;23646;173217;174679;6121;2933;16632;17964;13997,192;24;9231;8099;10634;12301
"Mexico";-3230;-309;22534;-4287;26820;42408;114292;1046,711;107760;9158,243;5082;23389;23592;97717;99742;4402;4154;8220;1608,963;14077,696;2143;23189;19697;15784;21642
"Moldova";-449;-7723;38311;-2485;40796;26513;3564;5813;762705;1631,284;7094;15801;23524;33525,167;15446,065;8081;7358;6569;10942;3070,533;15;15000;15000;35000;35000
"Montenegro";-942;-22882;41284;-4604;45888;40939;619;4118;126316;6648,853;2464;-2623;22793;397532;235573;659;657;458;6778;10942,044;9;-3588;-3134;7230;7410
"Morocco";-3749;-4130;27537;-4370;31907;51298;31851;90771;120308;2849,853;3643;30902;35032;108100;108600;2164;994;5060;151003;4740,907;201;-2977;-721;27439;19314
"Mozambique";-1113;-11660;28565;-4304;32868;46115;21585;9548;221605;442353;7085;9630;21289;272362;285709;16618;12699;14514;21700;1005,323;29;-5772;-4628;-9681;-10218
"Myanmar";-952;-1918;11422;-5448;16870;49522;61187;49628;99935;811084;5345;23143;16013;1627,328;1666,217;8878;8222;453779;87811;1435,12;117;11830;14559;6244;6001
"Namibia";-198;-1788;28130;-4576;32707;15651;2120;11052;191536;5212,127;6274;19290;21077;195110;187291;3088;4470;5547;14604;6887,132;19;1963;1963;-3299;-3299
"Netherlands";60678;7793;45779;-5143;50922;63401;16615;778607;106832;46861,679;1528;25574;17781;107561;107771;1843;930;872;672746;40490,272;896;11522;10415;13447;12503
"New Zealand";-4499;-3167;34996;-5126;40122;32006;4376;142038;140331;32459,069;1883;16118;19304;129866;130690;4026;2302;1624;121203;27697,94;161;11630;10816;5220;3905
"Nicaragua";-947;-11031;25723;-615;26338;50054;5923;8587;138911;1449,693;3623;17865;28896;139058;145034;9230;5455;8001;22919;3869,486;31;14595;13757;24616;18690
"Niger";-1136;-19860;18243;-2417;20660;23967;15148;5719;142428;377509;10664;25498;45358;93171;95400;2666;938;256609;11017;727271;15;1948;7345;14922;15186
"Nigeria";13420;5870;20030;-6650;26681;15492;156051;228638;310780;1465,149;7976;31712;25843;108925;114200;11742;13720;91804;374316;2398,679;498;29259;17540;6615;6693
"Norway";50160;11916;55999;11105;44894;49215;4908;420946;100046;85764,724;243;35192;23276;128750;130400;2758;2399;10052;253118;51570,957;337;7569;9126;-4269;-701
"Oman";5870;9981;39265;5465;33799;5519;2519;58814;187113;23350,836;5588;34203;24222;140168;143559;4192;3256;289;78249;31067,311;104;3043;3817;8839;8147
"Pakistan";-3946;-2222;14327;-5909;20236;61464;171730;177622;168916;1034,308;2581;13583;15805;128849;134830;11762;10104;30522;487090;2836,369;649;-1887;-1887;641;641
"Panama";-2765;-10219;25201;-1864;27065;44092;3527;27053;128858;7670,541;7452;15311;25531;147728;150814;4907;3490;610;44365;12579,018;59;13649;9918;-30921;-10447
"Paraguay";-65;-314;20027;1377;18649;15200;6451;20733;413877;3213,787;13093;15913;16226;112875;117400;7215;4651;2511,104;37806;5860,343;50;36464;36464;17782;17782
"Peru";-3780;-2457;20233;-81;20314;24378;29552;153811;206842;5204,828;8761;22744;25202;101530;102184;2076;1530;1586;274044;9273,447;365;24557;24557;1580;1580
"Philippines";8922;4470;16721;-2515;19236;43462;92600;199591;157913;2155,409;7632;25011;20541;120442;122500;3638;3792;24645;365328;3945,232;487;21355;22104;27085;26959
"Poland";-24030;-5115;37567;-7857;45424;54838;38167;469799;114438;12308,934;3875;15883;20998;155761;154625;3100;2599;1975;717399;18796,159;955;13878;13878;12088;12088
"Portugal";-24241;-10569;41647;-9851;51498;93992;10637;229366;106079;21562,448;1936;9824;20175;108852;110150;2446;1389;701;246583;23181,013;328;-1162;-2348;3560;848
"Qatar";23797;19019;31383;2487;28896;39304;1686;125122;160237;74210,418;16732;55022;33815;228714;221833;402;-2433;3060;148823;88267,368;198;-12743;-12743;23453;23453
"Republic of Congo";463;3845;37517;16079;21437;22886;3865;12030;430358;3112,866;8752;24318;20473;173035;179691;5369;4983;350739;16956;4387,481;23;26333;21024;13129;13129
"Republic of Korea";29394;2896;22653;1653;20999;33431;49410;1014,89;112419;20540,177;6320;32423;29527;99983;101000;3034;2939;806100;1455,496;29457,52;1938;16773;17253;16185;14680
"Romania";-7287;-4422;32201;-6420;38621;31129;21447;164793;159400;7683,836;-1149;21153;25568;312752;322433;7956;6095;2059;254361;11860,121;339;17031;11076;19058;13211
