"TIME","GEO","DURATION","UNIT","Value","Flag and Footnotes"
"2011","Slovenia","10 years","Number","64",""
"2011","Slovenia","20 years","Number","54",""
"2011","Slovenia","30 years or over","Number","280",""
"2011","Slovakia","Less than 1 year","Number","24",""
"2011","Slovakia","Less than 5 years","Number","1,413",""
"2011","Slovakia","10 years","Number","413",""
"2011","Slovakia","20 years","Number","372",""
"2011","Slovakia","30 years or over","Number","842",""
"2011","Finland","Less than 1 year","Number","20",""
"2011","Finland","Less than 5 years","Number","3,242",""
"2011","Finland","10 years","Number","479",""
"2011","Finland","20 years","Number","289",""
"2011","Finland","30 years or over","Number","959",""
"2011","Sweden","Less than 1 year","Number","99",""
"2011","Sweden","Less than 5 years","Number","6,977",""
"2011","Sweden","10 years","Number","788",""
"2011","Sweden","20 years","Number","419",""
"2011","Sweden","30 years or over","Number","1,107",""
"2011","United Kingdom","Less than 1 year","Number","38",""
"2011","United Kingdom","Less than 5 years","Number","19,772",""
"2011","United Kingdom","10 years","Number","5,630",""
"2011","United Kingdom","20 years","Number","3,061",""
"2011","United Kingdom","30 years or over","Number","10,002",""
"2011","Iceland","Less than 1 year","Number","3",""
"2011","Iceland","Less than 5 years","Number","98",""
"2011","Iceland","10 years","Number","27",""
"2011","Iceland","20 years","Number","15",""
"2011","Iceland","30 years or over","Number","38",""
"2011","Liechtenstein","Less than 1 year","Number","0",""
"2011","Liechtenstein","Less than 5 years","Number","15",""
"2011","Liechtenstein","10 years","Number","3",""
"2011","Liechtenstein","20 years","Number","2",""
"2011","Liechtenstein","30 years or over","Number","2",""
"2011","Norway","Less than 1 year","Number","2",""
"2011","Norway","Less than 5 years","Number","1,407",""
"2011","Norway","10 years","Number","475",""
"2011","Norway","20 years","Number","241",""
"2011","Norway","30 years or over","Number","803",""
"2011","Switzerland","Less than 1 year","Number","41",""
"2011","Switzerland","Less than 5 years","Number","2,073",""
"2011","Switzerland","10 years","Number","709",""
"2011","Switzerland","20 years","Number","475",""
"2011","Switzerland","30 years or over","Number","1,412",""
"2012","Belgium","Less than 1 year","Number",":",""
"2012","Belgium","Less than 5 years","Number",":",""
"2012","Belgium","10 years","Number",":",""
"2012","Belgium","20 years","Number",":",""
"2012","Belgium","30 years or over","Number",":",""
"2012","Bulgaria","Less than 1 year","Number","22",""
"2012","Bulgaria","Less than 5 years","Number","2,353",""
"2012","Bulgaria","10 years","Number","408",""
"2012","Bulgaria","20 years","Number","276",""
"2012","Bulgaria","30 years or over","Number","894",""
"2012","Czech Republic","Less than 1 year","Number","43",""
"2012","Czech Republic","Less than 5 years","Number","4,002",""
"2012","Czech Republic","10 years","Number","949",""
"2012","Czech Republic","20 years","Number","809",""
"2012","Czech Republic","30 years or over","Number","1,942",""
"2012","Denmark","Less than 1 year","Number","46",""
"2012","Denmark","Less than 5 years","Number","2,999",""
"2012","Denmark","10 years","Number","724",""
"2012","Denmark","20 years","Number","331",""
"2012","Denmark","30 years or over","Number","742",""
"2012","Germany (including former GDR)","Less than 1 year","Number","26",""
"2012","Germany (including former GDR)","Less than 5 years","Number","21,417",""
"2012","Germany (including former GDR)","10 years","Number","7,788",""
"2012","Germany (including former GDR)","20 years","Number","4,812",""
"2012","Germany (including former GDR)","30 years or over","Number","13,935",""
"2012","Estonia","Less than 1 year","Number","17",""
"2012","Estonia","Less than 5 years","Number","686",""
"2012","Estonia","10 years","Number","123",""
"2012","Estonia","20 years","Number","63",""
"2012","Estonia","30 years or over","Number","251",""
"2012","Ireland","Less than 1 year","Number",":",""
"2012","Ireland","Less than 5 years","Number",":",""
"2012","Ireland","10 years","Number",":",""
"2012","Ireland","20 years","Number",":",""
"2012","Ireland","30 years or over","Number",":",""
"2012","Greece","Less than 1 year","Number",":",""
"2012","Greece","Less than 5 years","Number",":",""
"2012","Greece","10 years","Number",":",""
"2012","Greece","20 years","Number",":",""
"2012","Greece","30 years or over","Number",":",""
"2012","Spain","Less than 1 year","Number","291",""
"2012","Spain","Less than 5 years","Number","14,427",""
"2012","Spain","10 years","Number","3,723",""
"2012","Spain","20 years","Number","2,723",""
"2012","Spain","30 years or over","Number","12,456",""
"2012","France","Less than 1 year","Number",":",""
"2012","France","Less than 5 years","Number",":",""
"2012","France","10 years","Number",":",""
"2012","France","20 years","Number",":",""
"2012","France","30 years or over","Number",":",""
"2012","France (metropolitan)","Less than 1 year","Number",":",""
"2012","France (metropolitan)","Less than 5 years","Number",":",""
"2012","France (metropolitan)","10 years","Number",":",""
"2012","France (metropolitan)","20 years","Number",":",""
"2012","France (metropolitan)","30 years or over","Number",":",""
"2012","Croatia","Less than 1 year","Number","32",""
"2012","Croatia","Less than 5 years","Number","954",""
"2012","Croatia","10 years","Number","203",""
"2012","Croatia","20 years","Number","152",""
"2012","Croatia","30 years or over","Number","496",""
"2012","Italy","Less than 1 year","Number","0",""
"2012","Italy","Less than 5 years","Number","181",""
"2012","Italy","10 years","Number","1,963",""
"2012","Italy","20 years","Number","1,897",""
"2012","Italy","30 years or over","Number","9,596",""
"2012","Cyprus","Less than 1 year","Number","9",""
"2012","Cyprus","Less than 5 years","Number","525",""
"2012","Cyprus","10 years","Number","70",""
"2012","Cyprus","20 years","Number","39",""
"2012","Cyprus","30 years or over","Number","48",""
"2012","Latvia","Less than 1 year","Number","66",""
"2012","Latvia","Less than 5 years","Number","1,276",""
"2012","Latvia","10 years","Number","231",""
"2012","Latvia","20 years","Number","185",""
"2012","Latvia","30 years or over","Number","598",""
"2012","Lithuania","Less than 1 year","Number","98",""
"2012","Lithuania","Less than 5 years","Number","2,088",""
"2012","Lithuania","10 years","Number","294",""
"2012","Lithuania","20 years","Number","308",""
